Latest Layoff,Company,Total Laid Off to Date,Industry
3/31/2010,ITT,45,Conglomerate
3/30/2010,Xerox,2774,Business Services
3/29/2010,Allstate,124,Insurance
3/24/2010,JM Smucker,700,Food Drink & Tobacco
3/17/2010,AT&T,12300,Telecommunications
3/17/2010,Caterpillar,27499,Capital Goods
3/16/2010,Wells Fargo,989,Banking
3/15/2010,Devon Energy,50,Oil & Gas
3/5/2010,Supervalu,967,Food
3/5/2010,Cummins,2684,Capital Goods
2/23/2010,Walt Disney,3400,Media
2/23/2010,Pfizer,19872,Pharmaceuticals
2/23/2010,Goodrich,95,Aerospace
2/22/2010,Continental,2300,Transportation
2/17/2010,Humana,2500,Health Care
2/16/2010,Ford,4700,Consumer Durables
2/10/2010,Boston Scientific,1300,Health Care Equipment
2/10/2010,Textron,6315,Conglomerate
2/10/2010,Activision Blizzard,200,Software
2/8/2010,Cardinal Health,849,Health Care
2/5/2010,Delta Air Lines,2485,Transportation
2/3/2010,Wal-Mart Stores,13350,Retailing
1/27/2010,Time Warner,350,Media
1/26/2010,Home Depot,8000,Retailing
1/26/2010,Verizon,21308,Telecommunications
1/22/2010,AMR,2129,Transportation
1/22/2010,Tyson Foods,600,Food
1/21/2010,Smithfield Foods,1450,Food
1/15/2010,Precision Castparts,105,Defense
1/15/2010,Boeing,11304,Aerospace & Defense
1/15/2010,BB&T,244,Banking
1/13/2010,General Dynamics,1979,Aerospace
1/12/2010,Merck,16000,Pharmaceuticals
1/12/2010,Avon Products,3242,Household
1/8/2010,United Parcel Service,1800,Transportation
1/6/2010,UAL,1100,Transportation
1/6/2010,Lockheed Martin,2340,Aerospace & Defense
1/4/2010,Alcoa,13985,Durables
12/16/2009,General Motors,75733,Consumer Durables
12/14/2009,SPX,431,Conglomerates
12/12/2009,Coca-Cola Enterprises,12,"Food, Drink & Tobacco"
12/8/2009,Comcast,141,Telecommunications
12/4/2009,WellPoint,1100,Health Care
12/2/2009,U.S. Airways Group,1494,Transportation
12/2/2009,Harley-Davidson,3050,Consumer Durables
