,Company,Location,# Laid Off,Date,Source,$ Raised (mm),%,List of Employees Laid Off
0,Sema4,['Stamford'],500.0,2022-11-14T00:00:00.000Z,https://www.marketwatch.com/story/sema4-to-cut-500-jobs-in-exit-from-reproductive-women-s-health-testing-smfr-271668433348?mod=markets,791.0,,
1,Veev,['SF Bay Area'],100.0,2022-11-11T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/hjkataiss,597.0,0.3,
2,Juul,['SF Bay Area'],400.0,2022-11-10T00:00:00.000Z,https://www.cnbc.com/2022/11/10/juul-strikes-financing-deal-plans-to-cut-jobs-to-dodge-bankruptcy.html,1500.0,0.3,
11,Meta,['SF Bay Area'],11000.0,2022-11-09T00:00:00.000Z,https://www.cnbc.com/2022/11/09/meta-to-lay-off-more-than-11000-thousand-employees.html,26000.0,0.13,https://docs.google.com/spreadsheets/d/1edAZoFG25lJpfSpTuJzD9hGijSzRfZ8v84H_Zak4gug/edit
12,Redfin,['Seattle'],862.0,2022-11-09T00:00:00.000Z,https://www.businessinsider.com/redfin-layoffs-home-flipping-business-redfinnow-shut-down-2022-11,320.0,0.13,
13,AvantStay,['Los Angeles'],144.0,2022-11-09T00:00:00.000Z,https://shorttermrentalz.com/news/avantstay-workforce-redundancies-round/,686.0,0.22,
14,Root Insurance,['Columbus'],137.0,2022-11-09T00:00:00.000Z,https://www.dispatch.com/story/business/employment/2022/11/09/columbus-company-root-to-cut-20-of-its-workforce/69635184007/,527.0,0.2,
24,Salesforce,['SF Bay Area'],1000.0,2022-11-07T00:00:00.000Z,https://www.cnbc.com/2022/11/08/salesforce-cut-hundreds-of-employees-on-monday.html,65.0,0.01,
25,Zendesk,['SF Bay Area'],350.0,2022-11-07T00:00:00.000Z,https://twitter.com/GergelyOrosz/status/1589676662593302528,85.0,0.05,
28,Varonis,['New York City'],110.0,2022-11-06T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/hjfkkmrbo,30.0,0.05,
29,Twitter,['SF Bay Area'],3700.0,2022-11-04T00:00:00.000Z,https://www.nytimes.com/2022/11/04/technology/elon-musk-twitter-layoffs.html,12900.0,0.5,https://docs.google.com/spreadsheets/d/1OoD3pVxFl718fnxs_cEaOIbcj-45-qNKZFnE1jQW86M/edit#gid=0
33,Stripe,['SF Bay Area'],1000.0,2022-11-03T00:00:00.000Z,https://www.bloomberg.com/news/articles/2022-11-03/stripe-cutting-headcount-by-14-as-it-readies-for-leaner-times,2300.0,0.14,https://docs.google.com/spreadsheets/u/1/d/1aJHTUlDqOomDd8dU45fg0ekQlPCm97dVWasvpj5bWmg/htmlview
34,Lyft,['SF Bay Area'],700.0,2022-11-03T00:00:00.000Z,https://www.wsj.com/articles/lyft-plans-to-lay-off-hundreds-of-staffers-11667490092,4900.0,0.13,https://docs.google.com/spreadsheets/d/1TAEhC3gGu_ooKIDSTiX9OYUIjAHf7doS-lYyzTR_miY/edit
42,Opendoor,['SF Bay Area'],550.0,2022-11-02T00:00:00.000Z,https://www.bloomberg.com/news/articles/2022-11-02/opendoor-lays-off-18-of-workers-in-wave-of-housing-cutbacks,1900.0,0.18,https://coda.io/@opendoorosn/opendoor-os-national-talent-board
43,Chime,['SF Bay Area'],156.0,2022-11-02T00:00:00.000Z,https://www.theinformation.com/articles/chime-slashes-12-of-staff-marking-latest-casualty-in-fintech-meltdown,2300.0,0.12,
44,Chargebee,['SF Bay Area'],142.0,2022-11-02T00:00:00.000Z,https://techcrunch.com/2022/11/02/tiger-global-chargebee-layoffs/,468.0,0.1,
48,Booking.com,['Grand Rapids'],226.0,2022-11-01T00:00:00.000Z,https://www.crainsdetroit.com/west-michigan/bookingcom-close-grand-rapids-area-facility-lay-226,,,
49,Upstart,['SF Bay Area'],140.0,2022-11-01T00:00:00.000Z,https://techcrunch.com/2022/11/01/upstart-layoffs/,144.0,0.07,
50,Gem,['SF Bay Area'],100.0,2022-11-01T00:00:00.000Z,https://www.theinformation.com/briefings/recruiting-startup-gem-cuts-a-third-of-workforce,148.0,0.33,https://docs.google.com/spreadsheets/d/1bSFzwARd-KjyX677pudvqPijebPZGzPTQKuv_wNOxTg/edit
56,Fifth Season,['Pittsburgh'],100.0,2022-10-28T00:00:00.000Z,https://www.bizjournals.com/pittsburgh/news/2022/10/29/vertical-farming-startup-fifth-season-shuts-down.html,35.0,1.0,
61,MindBody,['San Luis Obispo'],400.0,2022-10-26T00:00:00.000Z,https://www.sanluisobispo.com/news/business/article267890657.html,114.0,0.15,
62,Zillow,['Seattle'],300.0,2022-10-26T00:00:00.000Z,https://techcrunch.com/2022/10/26/zillow-layoff-300-employees/,97.0,0.05,
63,Cybereason,['Boston'],200.0,2022-10-26T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/sjspj00uvs,750.0,0.17,
66,Fundbox,['SF Bay Area'],150.0,2022-10-25T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/sypou4svi,553.0,0.42,
70,Cerebral,['SF Bay Area'],400.0,2022-10-24T00:00:00.000Z,https://techcrunch.com/2022/10/24/telehealth-unicorn-cerebral-lays-off-20-of-staff-for-operational-efficiencies/,462.0,0.2,
71,Snyk,['Boston'],198.0,2022-10-24T00:00:00.000Z,https://en.globes.co.il/en/article-cybersecurity-co-snyk-laying-off-14-of-workforce-1001427487,849.0,0.14,
72,Khoros,['Austin'],120.0,2022-10-21T00:00:00.000Z,https://www.bizjournals.com/austin/inno/stories/news/2022/10/21/report-layoffs-at-khoros.html,138.0,0.1,
79,Gopuff,['Philadelphia'],250.0,2022-10-19T00:00:00.000Z,https://www.bloomberg.com/news/articles/2022-10-19/gopuff-fires-hundreds-more-staff-in-third-round-of-layoffs,3400.0,,
87,Clear Capital,['SF Bay Area'],378.0,2022-10-14T00:00:00.000Z,https://techcrunch.com/2022/10/14/clear-capital-lays-off-27-of-its-global-staff/,,0.27,
88,Beyond Meat,['Los Angeles'],200.0,2022-10-14T00:00:00.000Z,https://www.cnbc.com/2022/10/14/beyond-meat-to-cut-19percent-of-its-workforce-as-sales-stock-struggle.html,122.0,0.19,https://docs.google.com/spreadsheets/d/1cfVN7I0kN-ba1l54DU20aigdL0MTewrv28rLnZFAQ6o/edit
92,6sense,['SF Bay Area'],150.0,2022-10-12T00:00:00.000Z,https://www.moneycontrol.com/news/business/startup/ai-platform-6sense-lays-off-150-employees-globally-including-several-from-india-9327791.html,426.0,0.1,
93,Noom,['New York City'],500.0,2022-10-11T00:00:00.000Z,https://techcrunch.com/2022/10/11/noom-tech-layoffs-diet-app/,657.0,0.1,
94,MX,['Lehi'],200.0,2022-10-11T00:00:00.000Z,https://www.sltrib.com/news/2022/10/19/lehi-tech-company-mx-has-laid/,450.0,,https://docs.google.com/spreadsheets/d/1_v1SdSE16SLkY4qFm0JOP2-ff-jOYt0-blxPrdAqEPo/edit
95,Brex,['SF Bay Area'],136.0,2022-10-11T00:00:00.000Z,https://techcrunch.com/2022/10/11/fintech-brex-layoffs-restructuring/,1500.0,0.11,
96,Pacaso,['SF Bay Area'],100.0,2022-10-11T00:00:00.000Z,https://therealdeal.com/2022/10/13/pacaso-lays-off-100-workers-over-worries-of-a-pending-recession/,217.0,0.3,
99,HelloFresh,['SF Bay Area'],611.0,2022-10-10T00:00:00.000Z,https://www.businessinsider.com/meal-kit-maker-hellofresh-to-lay-off-600-closes-california-facility-2022-10,367.0,,
100,Momentive,['SF Bay Area'],180.0,2022-10-10T00:00:00.000Z,https://www.sec.gov/ix?doc=/Archives/edgar/data/1739936/000095017022019536/mntv-20221010.htm,1100.0,0.11,https://docs.google.com/spreadsheets/d/1bb8_Y159F9XJVwB7iUOSaMO4tyvVPx7b/edit#gid=978594496
105,Peloton,['New York City'],500.0,2022-10-06T00:00:00.000Z,https://www.wsj.com/articles/peloton-to-cut-another-500-jobs-in-last-bid-for-turnaround-11665011471,1900.0,0.12,
106,Landing,['Birmingham'],110.0,2022-10-06T00:00:00.000Z,https://www.al.com/news/birmingham/2022/10/landing-laying-off-70-jobs-in-birmingham-but-still-committed-to-growing-in-alabama.html,347.0,,
